alias,status,ttft_ms,tok_per_sec,cost_usd,completion_tokens,replica,reasoning_only,answer
deepseek-v4-pro,200,475.26,187.06,0.00026448,60,model-api-a,True,
kimi-k2.5,200,284.68,93.18,9.66e-05,25,model-api-a,False,The fundamental challenge is managing massive GPU memory requirements and unpredictable latency spik
kimi-k2.6,200,348.8,88.22,0.0002182,46,model-api-a,False,The core difficulty is that LLM inference is memory-bandwidth-bound during generation and requires m
kimi-k2.7-code,200,217.09,97.97,0.0001422,27,model-api-a,False,"The core difficulty is managing massive memory bandwidth demands, batching variability, and strict l"
nemotron-ultra,200,274.22,189.39,8.64e-05,25,model-api-a,False,The quadratic memory growth of the KV cache with sequence length creates unpredictable memory pressu
nemotron-super,200,268.81,307.94,4.095e-05,37,model-api-a,False,"Serving LLMs at scale is hard because they require massive memory, high compute throughput, and low-"
openai-gpt-120b,200,207.55,393.49,4.05e-05,60,model-api-a,True,
glm-4.7,200,298.96,158.94,9.46e-05,34,model-api-a,False,LLM serving is hard because the massive computational cost of generating text sequentially creates s
glm-5,200,761.19,149.11,0.00016365,42,model-api-a,False,Serving LLMs at scale is hard because the immense computational and memory demands of autoregressive
glm-5.1,200,284.11,69.96,0.000202,37,model-api-a,False,"Serving LLMs at scale is hard because their extreme memory, compute, and bandwidth demands create se"
glm-5.2,200,360.8,109.23,0.000228,41,model-api-a,False,Serving LLMs at scale is difficult because their massive memory requirements and highly variable seq
