i,t_rel_s,status,latency_ms
0,0.0,200,316
1,0.76,200,315
2,1.51,200,390
3,2.27,200,348
4,3.02,200,501
5,3.77,429,140
6,4.53,200,275
7,5.28,429,126
8,6.04,429,126
9,6.79,429,123
10,7.55,429,117
11,8.3,429,145
12,9.06,200,316
13,9.81,429,130
14,10.56,429,123
15,11.32,429,127
16,12.07,429,125
17,12.83,200,409
18,13.58,429,132
19,14.33,429,134
20,15.09,429,111
21,15.84,429,120
22,16.6,200,319
23,17.35,429,131
24,18.1,429,121
25,18.86,429,121
26,19.61,429,129
27,20.37,429,121
28,21.12,200,281
29,21.88,429,127
30,22.63,429,126
31,23.39,429,128
32,24.14,429,119
33,24.9,200,342
34,25.65,429,120
35,26.41,429,116
36,27.16,429,122
37,27.92,429,113
38,28.67,200,327
39,29.43,429,124
